year,inegi_code,state,mode,type,subtype,January,February,March,April,May,June,July,August,September,October,November,December
1997,1,AGUASCALIENTES,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,1,AGUASCALIENTES,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,4,4,4,4,4,4,0,0,0,0,0,0
1997,1,AGUASCALIENTES,HOMICIDIOS,DOLOSOS,OTROS,54,54,54,54,54,54,1,2,2,0,0,2
1997,1,AGUASCALIENTES,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,2,BAJA CALIFORNIA,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,2,BAJA CALIFORNIA,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
1997,2,BAJA CALIFORNIA,HOMICIDIOS,DOLOSOS,OTROS,33,36,65,37,41,42,38,48,49,28,47,28
1997,2,BAJA CALIFORNIA,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,3,BAJA CALIFORNIA SUR,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,3,BAJA CALIFORNIA SUR,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
1997,3,BAJA CALIFORNIA SUR,HOMICIDIOS,DOLOSOS,OTROS,2,4,2,4,3,2,1,8,5,0,8,21
1997,3,BAJA CALIFORNIA SUR,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,4,CAMPECHE,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,2,6,2,1,6,3,3,5,2,3,4,2
1997,4,CAMPECHE,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,5,3,4,0,2,1,5,0,0,4,0,3
1997,4,CAMPECHE,HOMICIDIOS,DOLOSOS,OTROS,5,4,6,4,4,11,8,6,3,6,3,4
1997,4,CAMPECHE,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,5,COAHUILA,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,6,2
1997,5,COAHUILA,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,3,5
1997,5,COAHUILA,HOMICIDIOS,DOLOSOS,OTROS,15,15,14,14,10,16,20,15,12,19,3,6
1997,5,COAHUILA,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,6,COLIMA,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,3,4,4,3,4,1,3,1,0,3,2
1997,6,COLIMA,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,2,0,1,2,3,2,5,0,3,1
1997,6,COLIMA,HOMICIDIOS,DOLOSOS,OTROS,7,2,5,5,3,8,1,8,0,5,5,3
1997,6,COLIMA,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,7,CHIAPAS,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,26,20,62,20,20,14,18,3,22,20,33,18
1997,7,CHIAPAS,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,12,19,19,10,11,9,8,1,12,9,15,11
1997,7,CHIAPAS,HOMICIDIOS,DOLOSOS,OTROS,74,65,61,70,70,59,82,20,107,103,119,115
1997,7,CHIAPAS,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,8,CHIHUAHUA,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,8,CHIHUAHUA,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
1997,8,CHIHUAHUA,HOMICIDIOS,DOLOSOS,OTROS,87,49,74,57,50,45,50,46,57,54,52,56
1997,8,CHIHUAHUA,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,9,CIUDAD DE MEXICO,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,9,CIUDAD DE MEXICO,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
1997,9,CIUDAD DE MEXICO,HOMICIDIOS,DOLOSOS,OTROS,70,96,74,68,78,69,76,87,95,78,94,92
1997,9,CIUDAD DE MEXICO,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,10,DURANGO,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,1,2,1,3,2,2,2,2,3,8,3,3
1997,10,DURANGO,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,1,1,0,0,0,2,2,2,1,2,3
1997,10,DURANGO,HOMICIDIOS,DOLOSOS,OTROS,2,0,2,1,2,1,0,0,0,2,2,3
1997,10,DURANGO,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,11,GUANAJUATO,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,12,14,10,8,15,10,14,12,11,9,12,12
1997,11,GUANAJUATO,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,6,3,4,2,7,7,4,6,12,5,10,9
1997,11,GUANAJUATO,HOMICIDIOS,DOLOSOS,OTROS,11,13,20,22,18,24,32,28,44,44,45,52
1997,11,GUANAJUATO,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,12,GUERRERO,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,37,37,38,38,37,30,22,42,35,43,73,54
1997,12,GUERRERO,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,5,5,6,6,5,6,3,9,8,5,7,5
1997,12,GUERRERO,HOMICIDIOS,DOLOSOS,OTROS,49,49,50,49,49,87,86,50,42,86,65,55
1997,12,GUERRERO,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,13,HIDALGO,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,5,4,5,8,12,9,12
1997,13,HIDALGO,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,2,6,0,4,2,5,18
1997,13,HIDALGO,HOMICIDIOS,DOLOSOS,OTROS,37,39,49,32,37,5,8,8,17,17,17,2
1997,13,HIDALGO,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,14,JALISCO,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,14,JALISCO,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
1997,14,JALISCO,HOMICIDIOS,DOLOSOS,OTROS,40,42,55,40,46,45,43,52,54,51,51,81
1997,14,JALISCO,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,15,MEXICO,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,15,MEXICO,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
1997,15,MEXICO,HOMICIDIOS,DOLOSOS,OTROS,267,265,287,248,269,260,197,267,278,254,222,223
1997,15,MEXICO,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,16,MICHOACAN,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,28,30,28,29,35,34,28
1997,16,MICHOACAN,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,0,0,0,0,0,5,5,5,6,7,10,10
1997,16,MICHOACAN,HOMICIDIOS,DOLOSOS,OTROS,61,60,61,61,61,19,20,19,22,25,45,43
1997,16,MICHOACAN,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,17,MORELOS,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,16,15,8,7,6,8,10,6,7,1,14,9
1997,17,MORELOS,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,3,3,3,0,2,1,2,0,2,2,3,2
1997,17,MORELOS,HOMICIDIOS,DOLOSOS,OTROS,4,6,3,4,5,1,3,1,2,10,2,7
1997,17,MORELOS,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,18,NAYARIT,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,1,8,1,2,3,3,0,0,0,0,0,0
