state,percent,postal,rank_perc
Aguascalientes,60.9,AG,1
Baja California,72.7,BC,2
Baja California Sur,65.3,BS,2
Campeche,57.8,CM,1
Coahuila de Zaragoza,64.0,CO,2
Colima,80.5,CL,3
Chiapas,71.4,CS,2
Chihuahua,80.9,CH,3
Ciudad de México,88.3,DF,4
Durango,60.4,DG,1
Guanajuato,83.0,GJ,3
Guerrero,84.2,GR,3
Hidalgo,63.3,HG,2
Jalisco,73.6,JA,2
Estado de México,91.8,MX,4
Michoacán de Ocampo,81.9,MI,3
Morelos,86.4,MO,4
Nayarit,83.5,NA,3
Nuevo León,75.1,NL,3
Oaxaca,76.6,OA,3
Puebla,81.4,PU,3
Querétaro,62.0,QT,1
Quintana Roo,73.3,QR,2
San Luis Potosí,81.3,SL,3
Sinaloa,72.6,SI,2
Sonora,66.9,SO,2
Tabasco,91.9,TB,4
Tamaulipas,86.4,TM,4
Tlaxcala,68.8,TL,2
Veracruz de Ignacio de la Llave,88.8,VE,4
Yucatán,32.5,YU,1
Zacatecas,89.5,ZA,4
